id catagory_id speed power maxQ maxP absP
425 20 340 400 267 550 350
426 20 380 450 297 550 350
427 20 420 185 172 550 400
428 20 470 250 201 550 400
429 20 300 280 227 550 400
430 20 340 315 250 550 400
431 20 380 400 273 550 400
432 20 420 450 303 550 400
433 20 470 185 178 550 550
434 20 300 250 205 550 550
435 20 340 280 233 550 550
436 20 380 315 257 550 550
437 20 420 400 280 550 550
438 20 470 450 315 550 550
439 21 230 220 168 550 200
440 21 260 280 200 550 200
441 21 290 315 227 550 200
442 21 320 355 250 550 200
443 21 350 400 272 550 200
444 21 400 500 309 550 200
445 21 230 220 185 550 250
446 21 260 280 213 550 250
447 21 290 315 238 550 250
448 21 320 355 262 550 250
449 21 350 400 283 550 250
450 21 400 500 322 550 250
451 21 230 220 200 550 350
452 21 260 280 230 550 350
453 21 290 315 255 550 350
454 21 320 355 278 550 350
455 21 350 400 301 550 350
456 21 400 500 342 550 350
457 21 230 220 206 550 400
458 21 260 280 237 550 400
459 21 290 315 260 550 400
460 21 320 355 283 550 400
461 21 350 400 308 550 400
462 21 400 500 348 550 400
463 21 230 220 212 550 550
464 21 260 280 241 550 550
465 21 290 315 267 550 550
466 21 320 355 292 550 550
467 21 350 400 316 550 550
468 21 400 500 260 550 550
469 22 230 280 200 550 200
470 22 260 355 243 550 200
471 22 290 400 272 550 200
472 22 320 400 303 550 200
473 22 350 500 327 550 200
474 22 400 630 373 550 200
475 22 230 280 217 550 250
476 22 260 355 260 550 250
477 22 290 400 286 550 250
478 22 320 400 315 550 250
479 22 350 500 346 550 250
480 22 400 630 387 550 250
481 22 230 280 243 550 350
482 22 260 355 280 550 350
483 22 290 400 312 550 350
484 22 320 400 336 550 350
485 22 350 500 348 550 350
486 22 400 630 414 550 350
487 22 230 280 250 550 400
488 22 260 355 286 550 400
489 22 290 400 317 550 400
490 22 320 400 340 550 400
491 22 350 500 375 550 400
492 22 400 630 422 550 400
493 22 230 280 260 550 550
494 22 260 355 290 550 550
495 22 290 400 325 550 550
496 22 320 400 366 550 550
497 22 350 500 385 550 550
498 22 400 630 437 550 550
499 23 210 315 237 550 200
500 23 240 400 285 550 200
501 23 270 450 325 550 200
502 23 300 500 360 550 200
503 23 320 560 386 550 200
504 23 330 630 395 550 200
505 23 370 710 440 550 200
506 23 210 315 262 550 250
507 23 240 400 302 550 250
508 23 270 450 340 550 250
509 23 300 500 378 550 250
510 23 320 560 400 550 250
511 23 330 630 415 550 250
512 23 370 710 460 550 250
513 23 210 315 287 550 350
514 23 240 400 331 550 350
515 23 270 450 372 550 350
516 23 300 500 405 550 350
517 23 320 560 430 550 350
518 23 330 630 440 550 350
519 23 370 710 488 550 350
520 23 210 315 295 550 400
521 23 240 400 337 550 400
522 23 270 450 378 550 400
523 23 300 500 416 550 400
524 23 320 560 438 550 400
525 23 330 630 450 550 400
526 23 370 710 500 550 400
527 23 210 315 300 550 550
528 23 240 400 348 550 550
529 23 270 450 385 550 550
530 23 300 500 425 550 550
531 23 320 560 450 550 500
532 23 330 630 463 550 500
533 23 370 710 518 550 500
534 24 190 400 283 550 200
535 24 210 450 327 550 200
536 24 240 560 383 550 200
537 24 270 630 430 550 200
538 24 300 710 476 550 200
539 24 340 900 535 550 200
540 24 190 400 313 550 250
541 24 210 450 350 550 250
542 24 240 560 405 550 250
543 24 270 630 452 550 250
544 24 300 710 496 550 250
545 24 340 900 558 550 250
546 24 190 400 347 550 350
547 24 210 450 380 550 350
548 24 240 560 435 550 350
549 24 270 630 482 550 350
550 24 300 710 530 550 350
551 24 340 900 597 550 350
552 24 190 400 355 550 400
553 24 210 450 390 550 400
554 24 240 560 445 550 400
555 24 270 630 490 550 400
556 24 300 710 546 550 400
557 24 340 900 610 550 400
558 24 190 400 365 550 550
559 24 210 450 410 550 550
560 24 240 560 460 550 550
561 24 270 630 510 550 550
562 24 300 710 564 550 550
563 24 340 900 633 550 550
564 25 190 560 430 550 200
565 25 210 630 473 550 200
566 25 240 800 532 550 200
567 25 270 900 595 550 200
568 25 300 1120 680 550 200
569 25 190 560 452 550 250
570 25 210 630 497 550 250
571 25 240 800 560 550 250
572 25 270 900 625 550 250
573 25 300 1120 710 550 250
574 25 190 560 486 550 350
